,gama1,delta1,ARL1,mu1,sigma1,desvio,d(%)
1,0,0,0,0,0,0,0
2,0.1,0.5,1.0286,0.2,0.4472,1.5725,-89
3,0.5,0.5,1.8357,1,2.2361,0.7725,-44
4,1,0.5,2.3251,2,4.4721,-0.2275,13
5,1.5,0.5,2.1068,3,6.7082,-1.2275,69
6,2,0.5,1.8373,4,8.9443,-2.2275,126
7,2.5,0.5,1.6397,5,11.1803,-3.2275,182
8,3,0.5,1.5031,6,13.4164,-4.2275,239
9,4,0.5,1.3351,8,17.8885,-6.2275,351
10,5,0.5,1.2404,10,22.3607,-8.2275,464
11,6,0.5,1.1814,12,26.8328,-10.2275,577
1,0,0,0,0,0,0,0
2,0.1,1,1,0.1,0.1,1.6725,-94
3,0.5,1,1.1967,0.5,0.5,1.2725,-72
4,1,1,3.5198,1,1,0.7725,-44
5,1.5,1,8.8965,1.5,1.5,0.2725,-15
6,2,1,7.0957,2,2,-0.2275,13
7,2.5,1,3.8339,2.5,2.5,-0.7275,41
8,3,1,2.4768,3,3,-1.2275,69
9,4,1,1.5571,4,4,-2.2275,126
10,5,1,1.2667,5,5,-3.2275,182
11,6,1,1.1445,6,6,-4.2275,239
"1",0,0,0,0,0,0,0
"2",0.1,1.5,1,0.0903,0.0613,1.6822,-95
"3",0.5,1.5,1.0433,0.4514,0.3065,1.3211,-75
"4",1,1.5,3.9308,0.9027,0.6129,0.8697,-49
"5",1.5,1.5,24.5507,1.3541,0.9194,0.4183,-24
"6",2,1.5,44.0718,1.8055,1.2259,-0.033,2
"7",2.5,1.5,9.5387,2.2569,1.5323,-0.4844,27
"8",3,1.5,3.6216,2.7082,1.8388,-0.9358,53
"9",4,1.5,1.5734,3.611,2.4517,-1.8385,104
"10",5,1.5,1.19,4.5137,3.0647,-2.7413,155
"11",6,1.5,1.0744,5.4165,3.6776,-3.644,206
"1",0,0,0,0,0,0,0
"2",0.1,2,1,0.0886,0.0463,1.6838,-95
"3",0.5,2,1.009,0.4431,0.2316,1.3293,-75
"4",1,2,4.9651,0.8862,0.4633,0.8862,-50
"5",1.5,2,70.4605,1.3293,0.6949,0.4431,-25
"6",2,2,369.6639,1.7725,0.9265,0,0
"7",2.5,2,23.3031,2.2156,1.1581,-0.4431,25
"8",3,2,4.7775,2.6587,1.3898,-0.8862,50
"9",4,2,1.4994,3.5449,1.853,-1.7725,100
"10",5,2,1.1158,4.4311,2.3163,-2.6587,150
"11",6,2,1.032,5.3174,2.7795,-3.5449,200
"1",0,0,0,0,0,0,0
"2",0.1,3,1,0.0893,0.0325,1.6832,-95
"3",0.5,3,1.0002,0.4465,0.1623,1.326,-75
"4",1,3,9.8437,0.893,0.3246,0.8795,-50
"5",1.5,3,911.1285,1.3395,0.4868,0.433,-24
"6",2,3,39432.1767,1.786,0.6491,-0.0135,1
"7",2.5,3,158.8567,2.2324,0.8114,-0.46,26
"8",3,3,7.1945,2.6789,0.9737,-0.9065,51
"9",4,3,1.3148,3.5719,1.2982,-1.7995,102
"10",5,3,1.0342,4.4649,1.6228,-2.6924,152
"11",6,3,1.0042,5.3579,1.9473,-3.5854,202
"1",0,0,0,0,0,0,0
"2",0.1,5,1,0.0918,0.021,1.6806,-95
"3",0.5,5,1,0.4591,0.1052,1.3134,-74
"4",1,5,65.085,0.9182,0.2103,0.8543,-48
"5",1.5,5,384615.3846,1.3773,0.3155,0.3952,-22
"6",2,5,Inf,1.8363,0.4206,-0.0639,4
"7",2.5,5,28885.0376,2.2954,0.5258,-0.523,30
"8",3,5,13.0333,2.7545,0.6309,-0.9821,55
"9",4,5,1.0943,3.6727,0.8412,-1.9002,107
"10",5,5,1.0016,4.5908,1.0515,-2.8184,159
"11",6,5,1,5.509,1.2619,-3.7366,211
"1",0,0,0,0,0,0,0
"2",0.1,10,1,0.0951,0.0114,1.6773,-95
"3",0.5,10,1,0.4757,0.0572,1.2968,-73
"4",1,10,35561.8777,0.9514,0.1145,0.8211,-46
"5",1.5,10,Inf,1.427,0.1717,0.3454,-19
"6",2,10,Inf,1.9027,0.2289,-0.1302,7
"7",2.5,10,Inf,2.3784,0.2861,-0.6059,34
"8",3,10,58.4401,2.8541,0.3434,-1.0816,61
"9",4,10,1.0022,3.8054,0.4578,-2.0329,115
"10",5,10,1,4.7568,0.5723,-2.9843,168
"11",6,10,1,5.7081,0.6867,-3.9357,222
"1",0,0,0,0,0,0,0
"2",0.1,20,1,0.0974,0.006,1.6751,-95
"3",0.5,20,1,0.4868,0.0302,1.2857,-73
"4",1,20,Inf,0.9735,0.0603,0.7989,-45
"5",1.5,20,Inf,1.4603,0.0905,0.3122,-18
"6",2,20,Inf,1.947,0.1207,-0.1746,10
"7",2.5,20,Inf,2.4338,0.1508,-0.6613,37
"8",3,20,4718.7618,2.9205,0.181,-1.1481,65
"9",4,20,1,3.894,0.2413,-2.1216,120
"10",5,20,1,4.8675,0.3017,-3.0951,175
"11",6,20,1,5.841,0.362,-4.0686,230
