$gamma_1$,$delta_1$,LSa,LIa,LSb,LIb,$ARL_0$,$ARL_1_conjunta$
0.1,0.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
0.5,0.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
1,0.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
1.5,0.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
2,0.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
2.5,0.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
3,0.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
4,0.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
5,0.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1.00000002
6,0.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
0.1,1,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
0.5,1,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
1,1,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
1.5,1,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
2,1,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
2.5,1,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
3,1,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
4,1,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
5,1,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
6,1,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
0.1,1.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
0.5,1.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
1,1.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
1.5,1.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
2,1.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
2.5,1.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
3,1.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
4,1.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
5,1.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
6,1.5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
0.1,2,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
0.5,2,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
1,2,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
1.5,2,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
2,2,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
2.5,2,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
3,2,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
