"gama1","delta1","ARL1","mu1","sigma1","desvio","d(%)"
0.1,0.5,1,0.2,0.4472,48.7219,-100
0.5,0.5,1,1,2.2361,47.9219,-98
1,0.5,1,2,4.4721,46.9219,-96
1.5,0.5,1,3,6.7082,45.9219,-94
2,0.5,1.0001,4,8.9443,44.9219,-92
2.5,0.5,1.0004,5,11.1803,43.9219,-90
3,0.5,1.0008,6,13.4164,42.9219,-88
4,0.5,1.0024,8,17.8885,40.9219,-84
5,0.5,1.0051,10,22.3607,38.9219,-80
6,0.5,1.0085,12,26.8328,36.9219,-75
0.1,1,1,0.1,0.1,48.8219,-100
0.5,1,1,0.5,0.5,48.4219,-99
1,1,1,1,1,47.9219,-98
1.5,1,1,1.5,1.5,47.4219,-97
2,1,1,2,2,46.9219,-96
2.5,1,1,2.5,2.5,46.4219,-95
3,1,1,3,3,45.9219,-94
4,1,1,4,4,44.9219,-92
5,1,1,5,5,43.9219,-90
6,1,1,6,6,42.9219,-88
0.1,1.5,1,0.0903,0.0613,48.8316,-100
0.5,1.5,1,0.4514,0.3065,48.4705,-99
1,1.5,1,0.9027,0.6129,48.0192,-98
1.5,1.5,1,1.3541,0.9194,47.5678,-97
2,1.5,1,1.8055,1.2259,47.1164,-96
2.5,1.5,1,2.2569,1.5323,46.665,-95
3,1.5,1,2.7082,1.8388,46.2137,-94
4,1.5,1,3.611,2.4517,45.3109,-93
5,1.5,1,4.5137,3.0647,44.4082,-91
6,1.5,1,5.4165,3.6776,43.5054,-89
0.1,2,1,0.0886,0.0463,48.8333,-100
0.5,2,1,0.4431,0.2316,48.4788,-99
1,2,1,0.8862,0.4633,48.0357,-98
1.5,2,1,1.3293,0.6949,47.5926,-97
2,2,1,1.7725,0.9265,47.1495,-96
2.5,2,1,2.2156,1.1581,46.7063,-95
3,2,1,2.6587,1.3898,46.2632,-95
4,2,1,3.5449,1.853,45.377,-93
5,2,1,4.4311,2.3163,44.4908,-91
6,2,1,5.3174,2.7795,43.6045,-89
0.1,3,1,0.0893,0.0325,48.8326,-100
0.5,3,1,0.4465,0.1623,48.4754,-99
1,3,1,0.893,0.3246,48.0289,-98
1.5,3,1,1.3395,0.4868,47.5824,-97
2,3,1,1.786,0.6491,47.136,-96
2.5,3,1,2.2324,0.8114,46.6895,-95
3,3,1,2.6789,0.9737,46.243,-95
4,3,1,3.5719,1.2982,45.35,-93
5,3,1,4.4649,1.6228,44.457,-91
6,3,1,5.3579,1.9473,43.564,-89
0.1,5,1,0.0918,0.021,48.8301,-100
0.5,5,1,0.4591,0.1052,48.4628,-99
1,5,1,0.9182,0.2103,48.0037,-98
1.5,5,1,1.3773,0.3155,47.5447,-97
2,5,1,1.8363,0.4206,47.0856,-96
2.5,5,1,2.2954,0.5258,46.6265,-95
3,5,1,2.7545,0.6309,46.1674,-94
4,5,1,3.6727,0.8412,45.2492,-92
5,5,1,4.5908,1.0515,44.3311,-91
6,5,1,5.509,1.2619,43.4129,-89
0.1,10,1,0.0951,0.0114,48.8268,-100
0.5,10,1,0.4757,0.0572,48.4462,-99
1,10,1,0.9514,0.1145,47.9706,-98
1.5,10,1,1.427,0.1717,47.4949,-97
2,10,1,1.9027,0.2289,47.0192,-96
2.5,10,1,2.3784,0.2861,46.5435,-95
3,10,1,2.8541,0.3434,46.0679,-94
4,10,1,3.8054,0.4578,45.1165,-92
5,10,1,4.7568,0.5723,44.1652,-90
6,10,1,5.7081,0.6867,43.2138,-88
0.1,20,1,0.0974,0.006,48.8246,-100
0.5,20,1,0.4868,0.0302,48.4352,-99
1,20,1,0.9735,0.0603,47.9484,-98
1.5,20,1,1.4603,0.0905,47.4617,-97
2,20,1,1.947,0.1207,46.9749,-96
2.5,20,1,2.4338,0.1508,46.4881,-95
3,20,1,2.9205,0.181,46.0014,-94
4,20,1,3.894,0.2413,45.0279,-92
5,20,1,4.8675,0.3017,44.0544,-90
6,20,1,5.841,0.362,43.0809,-88
