$gamma_1$,$delta_1$,$ARL_1$,mu1,sigma1,desvio,d(%)
0.1,0.5,3.04713782039816,0.2,0.447213595499958,1.5859590231385,-89
0.5,0.5,2.63311488485626,1,2.23606797749979,0.785959023138499,-44
1,0.5,1.63877708423275,2,4.47213595499958,-0.214040976861501,12
1.5,0.5,1.35881089263032,3,6.70820393249937,-1.2140409768615,68
2,0.5,1.23564541454582,4,8.94427190999916,-2.2140409768615,124
2.5,0.5,1.16858418476961,5,11.1803398874989,-3.2140409768615,180
3,0.5,1.12736556808199,6,13.4164078649987,-4.2140409768615,236
4,0.5,1.08062682061305,8,17.8885438199983,-6.2140409768615,348
5,0.5,1.05599341735943,10,22.3606797749979,-8.2140409768615,460
6,0.5,1.04105255410272,12,26.8328157299975,-10.2140409768615,572
0.1,1,1.44135630013524,0.1,0.1,1.6859590231385,-94
0.5,1,33.5158157783076,0.5,0.5,1.2859590231385,-72
1,1,6.40071032522905,1,1,0.785959023138499,-44
1.5,1,2.5282910714311,1.5,1.5,0.285959023138499,-16
2,1,1.68852313526597,2,2,-0.214040976861501,12
2.5,1,1.37809066805784,2.5,2.5,-0.714040976861501,40
3,1,1.2307093084797,3,3,-1.2140409768615,68
4,1,1.10351298281921,4,4,-2.2140409768615,124
5,1,1.05388250419935,5,5,-3.2140409768615,180
6,1,1.03102551674741,6,6,-4.2140409768615,236
0.1,1.5,1.05071834250779,0.0902745292950934,0.0612935791754676,1.69568449384341,-95
0.5,1.5,30.5684197655402,0.451372646475467,0.306467895877338,1.33458637666303,-75
1,1.5,112.745418589916,0.902745292950934,0.612935791754676,0.883213730187565,-49
1.5,1.5,10.0512149607108,1.3541179394264,0.919403687632014,0.431841083712098,-24
2,1.5,3.37319095768939,1.80549058590187,1.22587158350935,-0.0195315627633688,1
2.5,1.5,2.00409211560902,2.25686323237733,1.53233947938669,-0.470904209238836,26
3,1.5,1.52512737330027,2.7082358788528,1.83880737526403,-0.922276855714302,52
4,1.5,1.19488922934735,3.61098117180373,2.4517431670187,-1.82502214866524,102
5,1.5,1.08968328834685,4.51372646475467,3.06467895877338,-2.72776744161617,153
6,1.5,1.04695858426575,5.4164717577056,3.67761475052806,-3.6305127345671,203
0.1,2,1.00162094320481,0.0886226925452758,0.0463251375176104,1.69733633059322,-95
0.5,2,16.8077057279989,0.443113462726379,0.231625687588052,1.34284556041212,-75
1,2,222.799520535432,0.886226925452758,0.463251375176104,0.89973209768574,-50
1.5,2,110.48747072082,1.32934038817914,0.694877062764156,0.456618634959362,-26
2,2,11.4671955643053,1.77245385090552,0.926502750352208,0.0135051722329824,-1
2.5,2,3.914885993822,2.2155673136319,1.15812843794026,-0.429608290493397,24
3,2,2.25802873729949,2.65868077635827,1.38975412552831,-0.872721753219776,49
4,2,1.39930496522377,3.54490770181103,1.85300550070442,-1.75894867867253,98
5,2,1.17358500503867,4.43113462726379,2.31625687588052,-2.64517560412529,148
6,2,1.08834387626558,5.31736155271655,2.77950825105663,-3.53140252957805,198
0.1,3,1,0.0892979511569249,0.0324550280955785,1.69666107198157,-95
0.5,3,5.86723549123605,0.446489755784625,0.162275140477892,1.33946926735387,-75
1,3,67.4334297181822,0.892979511569249,0.324550280955785,0.892979511569249,-50
1.5,3,323.034978227442,1.33946926735387,0.486825421433677,0.446489755784625,-25
2,3,498.588993149387,1.7859590231385,0.649100561911569,0,0
2.5,3,42.4296939970469,2.23244877892312,0.811375702389461,-0.446489755784625,25
3,3,9.38232055561352,2.67893853470775,0.973650842867354,-0.892979511569249,50
4,3,2.57319968271419,3.571918046277,1.29820112382314,-1.7859590231385,100
5,3,1.59274275048006,4.46489755784625,1.62275140477892,-2.67893853470775,150
6,3,1.28943202401913,5.3578770694155,1.94730168573471,-3.571918046277,200
0.1,5,1,0.0918168742399761,0.021030924369394,1.69414214889852,-95
0.5,5,1.82195107055659,0.45908437119988,0.10515462184697,1.32687465193862,-74
1,5,12.8748247736348,0.918168742399761,0.21030924369394,0.867790280738738,-49
1.5,5,55.4054069028488,1.37725311359964,0.315463865540911,0.408705909538858,-23
2,5,165.074795389791,1.83633748479952,0.420618487387881,-0.0503784616610228,3
2.5,5,391.153668630258,2.2954218559994,0.525773109234851,-0.509462832860903,29
3,5,508.71427554,2.75450622719928,0.630927731081821,-0.968547204060783,54
4,5,26.162436287927,3.67267496959904,0.841236974775762,-1.88671594646054,106
5,5,5.82293434897731,4.5908437119988,1.0515462184697,-2.80488468886031,157
6,5,2.83290500753921,5.50901245439856,1.26185546216364,-3.72305343126007,208
0.1,10,1,0.0951350769866873,0.0114457219403008,1.69082394615181,-95
0.5,10,1.02295963335817,0.475675384933437,0.0572286097015041,1.31028363820506,-73
1,10,2.03936263554828,0.951350769866873,0.114457219403008,0.834608253271625,-47
1.5,10,5.70007526379378,1.42702615480031,0.171685829104512,0.358932868338189,-20
2,10,14.3499281642596,1.90270153973375,0.228914438806016,-0.116742516595248,7
2.5,10,31.3987713032814,2.37837692466718,0.28614304850752,-0.592417901528685,33
3,10,61.417139066828,2.85405230960062,0.343371658209025,-1.06809328646212,60
4,10,182.368603421235,3.80540307946749,0.457828877612033,-2.01944405632899,113
5,10,288.428812884692,4.75675384933437,0.572286097015041,-2.97079482619587,166
6,10,89.9662446650017,5.70810461920124,0.686743316418049,-3.92214559606274,220
0.1,20,1,0.0973504265562776,0.00603341926104414,1.68860859658222,-95
0.5,20,1.00002954087264,0.486752132781388,0.0301670963052207,1.29920689035711,-73
1,20,1.04378387352663,0.973504265562776,0.0603341926104414,0.812454757575723,-45
1.5,20,1.36564877125069,1.46025639834416,0.0905012889156621,0.325702624794335,-18
2,20,2.15575140030066,1.94700853112555,0.120668385220883,-0.161049507987053,9
2.5,20,3.60732792594877,2.43376066390694,0.150835481526104,-0.647801640768441,36
3,20,5.99222281385436,2.92051279668833,0.181002577831324,-1.13455377354983,64
4,20,15.0119450046402,3.8940170622511,0.241336770441766,-2.1080580391126,118
5,20,32.7445856827574,4.86752132781388,0.301670963052207,-3.08156230467538,173
6,20,63.8039127111431,5.84102559337665,0.362005155662649,-4.05506657023816,227
