"","gama1","delta1","ARL1","mu1","sigma1","desvio","d(%)"
"1",0,0,0,0,0,0,0
"2",0.1,0.5,1.029,0.2,0.4472,1.5725,-89
"3",0.5,0.5,1.8413,1,2.2361,0.7725,-44
"4",1,0.5,2.331,2,4.4721,-0.2275,13
"5",1.5,0.5,2.111,3,6.7082,-1.2275,69
"6",2,0.5,1.8396,4,8.9443,-2.2275,126
"7",2.5,0.5,1.6413,5,11.1803,-3.2275,182
"8",3,0.5,1.5036,6,13.4164,-4.2275,239
"9",4,0.5,1.3359,8,17.8885,-6.2275,351
"10",5,0.5,1.241,10,22.3607,-8.2275,464
"11",6,0.5,1.181,12,26.8328,-10.2275,577
"12",0.1,1,1,0.1,0.1,1.6725,-94
"13",0.5,1,1.1992,0.5,0.5,1.2725,-72
"14",1,1,3.5493,1,1,0.7725,-44
"15",1.5,1,8.9569,1.5,1.5,0.2725,-15
"16",2,1,7.1305,2,2,-0.2275,13
"17",2.5,1,3.8505,2.5,2.5,-0.7275,41
"18",3,1,2.4781,3,3,-1.2275,69
"19",4,1,1.5565,4,4,-2.2275,126
"20",5,1,1.2667,5,5,-3.2275,182
"21",6,1,1.1451,6,6,-4.2275,239
"22",0.1,1.5,1,0.0903,0.0613,1.6822,-95
"23",0.5,1.5,1.0444,0.4514,0.3065,1.3211,-75
"24",1,1.5,3.9641,0.9027,0.6129,0.8697,-49
"25",1.5,1.5,24.9147,1.3541,0.9194,0.4183,-24
"26",2,1.5,44.8954,1.8055,1.2259,-0.033,2
"27",2.5,1.5,9.6536,2.2569,1.5323,-0.4844,27
"28",3,1.5,3.6315,2.7082,1.8388,-0.9358,53
"29",4,1.5,1.5753,3.611,2.4517,-1.8385,104
"30",5,1.5,1.1902,4.5137,3.0647,-2.7413,155
"31",6,1.5,1.0744,5.4165,3.6776,-3.644,206
"32",0.1,2,1,0.0886,0.0463,1.6838,-95
"33",0.5,2,1.0093,0.4431,0.2316,1.3293,-75
"34",1,2,5.0267,0.8862,0.4633,0.8862,-50
"35",1.5,2,71.5308,1.3293,0.6949,0.4431,-25
"36",2,2,371.6091,1.7725,0.9265,0,0
"37",2.5,2,23.5388,2.2156,1.1581,-0.4431,25
"38",3,2,4.8055,2.6587,1.3898,-0.8862,50
"39",4,2,1.5026,3.5449,1.853,-1.7725,100
"40",5,2,1.1171,4.4311,2.3163,-2.6587,150
"41",6,2,1.0322,5.3174,2.7795,-3.5449,200
"42",0.1,3,1,0.0893,0.0325,1.6832,-95
"43",0.5,3,1.0002,0.4465,0.1623,1.326,-75
"44",1,3,9.9308,0.893,0.3246,0.8795,-50
"45",1.5,3,948.7666,1.3395,0.4868,0.433,-24
"46",2,3,40000,1.786,0.6491,-0.0135,1
"47",2.5,3,160.72,2.2324,0.8114,-0.46,26
"48",3,3,7.2246,2.6789,0.9737,-0.9065,51
"49",4,3,1.3156,3.5719,1.2982,-1.7995,102
"50",5,3,1.0341,4.4649,1.6228,-2.6924,152
"51",6,3,1.0041,5.3579,1.9473,-3.5854,202
"52",0.1,5,1,0.0918,0.021,1.6806,-95
"53",0.5,5,1,0.4591,0.1052,1.3134,-74
"54",1,5,66.7468,0.9182,0.2103,0.8543,-48
"55",1.5,5,333333.3333,1.3773,0.3155,0.3952,-22
"56",2,5,Inf,1.8363,0.4206,-0.0639,4
"57",2.5,5,40000,2.2954,0.5258,-0.523,30
"58",3,5,13.3923,2.7545,0.6309,-0.9821,55
"59",4,5,1.0956,3.6727,0.8412,-1.9002,107
"60",5,5,1.0016,4.5908,1.0515,-2.8184,159
"61",6,5,1,5.509,1.2619,-3.7366,211
"62",0.1,10,1,0.0951,0.0114,1.6773,-95
"63",0.5,10,1,0.4757,0.0572,1.2968,-73
"64",1,10,55555.5556,0.9514,0.1145,0.8211,-46
"65",1.5,10,Inf,1.427,0.1717,0.3454,-19
"66",2,10,Inf,1.9027,0.2289,-0.1302,7
"67",2.5,10,Inf,2.3784,0.2861,-0.6059,34
"68",3,10,60.7238,2.8541,0.3434,-1.0816,61
"69",4,10,1.0022,3.8054,0.4578,-2.0329,115
"70",5,10,1,4.7568,0.5723,-2.9843,168
"71",6,10,1,5.7081,0.6867,-3.9357,222
"72",0.1,20,1,0.0974,0.006,1.6751,-95
"73",0.5,20,1,0.4868,0.0302,1.2857,-73
"74",1,20,Inf,0.9735,0.0603,0.7989,-45
"75",1.5,20,Inf,1.4603,0.0905,0.3122,-18
"76",2,20,Inf,1.947,0.1207,-0.1746,10
"77",2.5,20,Inf,2.4338,0.1508,-0.6613,37
"78",3,20,5988.024,2.9205,0.181,-1.1481,65
"79",4,20,1,3.894,0.2413,-2.1216,120
"80",5,20,1,4.8675,0.3017,-3.0951,175
"81",6,20,1,5.841,0.362,-4.0686,230
