"gama1","delta1","ARL1","mu1","sigma1","desvio","d(%)"
0.1,0.5,3.5217,0.2,0.4472,0.3,-60
0.5,0.5,4.2298,1,2.2361,-0.5,100
1,0.5,2.0201,2,4.4721,-1.5,300
1.5,0.5,1.529,3,6.7082,-2.5,500
2,0.5,1.3331,4,8.9443,-3.5,700
2.5,0.5,1.232,5,11.1803,-4.5,900
3,0.5,1.1719,6,13.4164,-5.5,1100
4,0.5,1.1058,8,17.8885,-7.5,1500
5,0.5,1.0721,10,22.3607,-9.5,1900
6,0.5,1.0521,12,26.8328,-11.5,2300
0.1,1,2.7489,0.1,0.1,0.4,-80
0.5,1,371.9159,0.5,0.5,0,0
1,1,6.4345,1,1,-0.5,100
1.5,1,2.1003,1.5,1.5,-1,200
2,1,1.4159,2,2,-1.5,300
2.5,1,1.1977,2.5,2.5,-2,400
3,1,1.1061,3,3,-2.5,500
4,1,1.0378,4,4,-3.5,700
5,1,1.0162,5,5,-4.5,900
6,1,1.0078,6,6,-5.5,1100
0.1,1.5,2.698,0.0903,0.0613,0.4097,-82
0.5,1.5,26315.7895,0.4514,0.3065,0.0486,-10
1,1.5,27.2847,0.9027,0.6129,-0.4027,81
1.5,1.5,2.5744,1.3541,0.9194,-0.8541,171
2,1.5,1.3656,1.8055,1.2259,-1.3055,261
2.5,1.5,1.1197,2.2569,1.5323,-1.7569,351
3,1.5,1.0456,2.7082,1.8388,-2.2082,442
4,1.5,1.0087,3.611,2.4517,-3.111,622
5,1.5,1.0022,4.5137,3.0647,-4.0137,803
6,1.5,1.0007,5.4165,3.6776,-4.9165,983
0.1,2,2.9613,0.0886,0.0463,0.4114,-82
0.5,2,925925.9259,0.4431,0.2316,0.0569,-11
1,2,140.613,0.8862,0.4633,-0.3862,77
1.5,2,2.8737,1.3293,0.6949,-0.8293,166
2,2,1.2764,1.7725,0.9265,-1.2725,254
2.5,2,1.0616,2.2156,1.1581,-1.7156,343
3,2,1.0161,2.6587,1.3898,-2.1587,432
4,2,1.0015,3.5449,1.853,-3.0449,609
5,2,1.0002,4.4311,2.3163,-3.9311,786
6,2,1,5.3174,2.7795,-4.8174,963
0.1,3,4.0929,0.0893,0.0325,0.4107,-82
0.5,3,Inf,0.4465,0.1623,0.0535,-11
1,3,9403.7991,0.893,0.3246,-0.393,79
1.5,3,3.1297,1.3395,0.4868,-0.8395,168
2,3,1.1323,1.786,0.6491,-1.286,257
2.5,3,1.0125,2.2324,0.8114,-1.7324,346
3,3,1.0014,2.6789,0.9737,-2.1789,436
4,3,1,3.5719,1.2982,-3.0719,614
5,3,1,4.4649,1.6228,-3.9649,793
6,3,1,5.3579,1.9473,-4.8579,972
0.1,5,11.0397,0.0918,0.021,0.4082,-82
0.5,5,Inf,0.4591,0.1052,0.0409,-8
1,5,Inf,0.9182,0.2103,-0.4182,84
1.5,5,2.9603,1.3773,0.3155,-0.8773,175
2,5,1.0203,1.8363,0.4206,-1.3363,267
2.5,5,1.0002,2.2954,0.5258,-1.7954,359
3,5,1,2.7545,0.6309,-2.2545,451
4,5,1,3.6727,0.8412,-3.1727,635
5,5,1,4.5908,1.0515,-4.0908,818
6,5,1,5.509,1.2619,-5.009,1002
0.1,10,402.2494,0.0951,0.0114,0.4049,-81
0.5,10,Inf,0.4757,0.0572,0.0243,-5
1,10,Inf,0.9514,0.1145,-0.4514,90
1.5,10,2.2324,1.427,0.1717,-0.927,185
2,10,1.0001,1.9027,0.2289,-1.4027,281
2.5,10,1,2.3784,0.2861,-1.8784,376
3,10,1,2.8541,0.3434,-2.3541,471
4,10,1,3.8054,0.4578,-3.3054,661
5,10,1,4.7568,0.5723,-4.2568,851
6,10,1,5.7081,0.6867,-5.2081,1042
0.1,20,5555555.5556,0.0974,0.006,0.4026,-81
0.5,20,Inf,0.4868,0.0302,0.0132,-3
1,20,Inf,0.9735,0.0603,-0.4735,95
1.5,20,1.3928,1.4603,0.0905,-0.9603,192
2,20,1,1.947,0.1207,-1.447,289
2.5,20,1,2.4338,0.1508,-1.9338,387
3,20,1,2.9205,0.181,-2.4205,484
4,20,1,3.894,0.2413,-3.394,679
5,20,1,4.8675,0.3017,-4.3675,874
6,20,1,5.841,0.362,-5.341,1068
