$gamma_1$,$delta_1$,$ARL_1$,desvio,d(%)
0.1,0.5,2.39078088115481,1.57245385090552,-89
0.5,0.5,3.91689937618677,0.772453850905516,-44
1,0.5,2.22100303962034,-0.227546149094484,13
1.5,0.5,1.6922637351063,-1.22754614909448,69
2,0.5,1.4599147129504,-2.22754614909448,126
2.5,0.5,1.33325156057095,-3.22754614909448,182
3,0.5,1.25505819830371,-4.22754614909448,239
4,0.5,1.16542770823956,-6.22754614909448,351
5,0.5,1.11727494317428,-8.22754614909448,464
6,0.5,1.08764509566252,-10.2275461490945,577
0.1,1,1.15843377436838,1.67245385090552,-94
0.5,1,17.450228458391,1.27245385090552,-72
1,1,30.4618194601069,0.772453850905516,-44
1.5,1,7.48525853184738,0.272453850905516,-15
2,1,3.51314647516177,-0.227546149094484,13
2.5,1,2.30716368325024,-0.727546149094484,41
3,1,1.78918536923007,-1.22754614909448,69
4,1,1.36386559224609,-2.22754614909448,126
5,1,1.19840960499413,-3.22754614909448,182
6,1,1.11953807321721,-4.22754614909448,239
0.1,1.5,1.00451271309281,1.68217932161042,-95
0.5,1.5,10.7203036333039,1.32108120443005,-75
1,1.5,123.609088729076,0.869708557954582,-49
1.5,1.5,174.242741047408,0.418335911479116,-24
2,1.5,25.3446106712976,-0.0330367349963512,2
2.5,1.5,7.8104033948387,-0.484409381471818,27
3,1.5,3.92885997527333,-0.935782027947285,53
4,1.5,1.95289324649676,-1.83852732089822,104
5,1.5,1.43363338324289,-2.74127261384915,155
6,1.5,1.23173691360824,-3.64401790680009,206
0.1,2,1.00000540002916,1.68383115836024,-95
0.5,2,5.98616143144923,1.32934038817914,-75
1,2,67.852272033329,0.886226925452758,-50
1.5,2,321.957501609788,0.443113462726379,-25
2,2,501.122514432328,0,0
2.5,2,67.8481287486091,-0.443113462726379,25
3,2,15.8313818516638,-0.886226925452758,50
4,2,3.71260239914307,-1.77245385090552,100
5,2,1.99769338331189,-2.65868077635827,150
6,2,1.48393509671517,-3.54490770181103,200
0.1,3,1,1.68315589974859,-95
0.5,3,2.43701438832791,1.32596409512089,-75
1,3,21.3693569404893,0.879474339336267,-50
1.5,3,96.9552183237606,0.432984583551642,-24
2,3,293.071210442713,-0.0135051722329824,1
2.5,3,701.075449739901,-0.459994928017607,26
3,3,938.315161296376,-0.906484683802232,51
4,3,36.9162797840545,-1.79946419537148,102
5,3,6.72382184185114,-2.69244370694073,152
6,3,3.01320918590078,-3.58542321850998,202
0.1,5,1,1.68063697666554,-95
0.5,5,1.162699358176,1.31336947970564,-74
1,5,4.74036993847,0.854285108505755,-48
1.5,5,17.842849460236,0.395200737305875,-22
2,5,50.6771480522745,-0.0638836338940052,4
2.5,5,117.694413516968,-0.522968005093886,30
3,5,236.95896344671,-0.982052376293766,55
4,5,723.651836628361,-1.90022111869353,107
5,5,385.356454720617,-2.81838986109329,159
6,5,42.3367874506988,-3.73655860349305,211
0.1,10,1,1.67731877391883,-95
0.5,10,1.0006551289129,1.29677846597208,-73
1,10,1.26603044585465,0.821103081038643,-46
1.5,10,2.49416042220349,0.345427696105206,-19
2,10,5.31100671088186,-0.13024768882823,7
2.5,10,10.6774067141669,-0.605923073761667,34
3,10,19.8863851046203,-1.0815984586951,61
4,10,56.1904451519446,-2.03294922856198,115
5,10,130.22257642763,-2.98429999842885,168
6,10,262.508531527275,-3.93565076829572,222
0.1,20,1,1.67510342434924,-95
0.5,20,1,1.28570171812413,-73
1,20,1.00382807830004,0.79894958534274,-45
1.5,20,1.07760492563729,0.312197452561352,-18
2,20,1.32936639765342,-0.174554680220035,10
2.5,20,1.82594927359538,-0.661306813001423,37
3,20,2.63544111697163,-1.14805894578281,65
4,20,5.58908759709922,-2.12156321134559,120
5,20,11.1746376847223,-3.09506747690836,175
6,20,20.7069176013769,-4.06857174247114,230
