$gamma_1$,$delta_1$,$ARL_1$,mu1,sigma1,desvio,d(%)
0.1,0.5,1.37198233172129,0.2,0.447213595499958,48.7219100457122,-100
0.5,0.5,4.70667041568654,1,2.23606797749979,47.9219100457122,-98
1,0.5,5.81903025395295,2,4.47213595499958,46.9219100457122,-96
1.5,0.5,4.37804449213983,3,6.70820393249937,45.9219100457122,-94
2,0.5,3.33032760166191,4,8.94427190999916,44.9219100457122,-92
2.5,0.5,2.70725542830432,5,11.1803398874989,43.9219100457122,-90
3,0.5,2.31693749426268,6,13.4164078649987,42.9219100457122,-88
4,0.5,1.87268547779229,8,17.8885438199983,40.9219100457122,-84
5,0.5,1.63432297909099,10,22.3606797749979,38.9219100457122,-80
6,0.5,1.48749094489887,12,26.8328157299975,36.9219100457122,-75
0.1,1,1.00156947940562,0.1,0.1,48.8219100457122,-100
0.5,1,2.47387085236379,0.5,0.5,48.4219100457122,-99
1,1,10.8210914325956,1,1,47.9219100457122,-98
1.5,1,33.7791962037588,1.5,1.5,47.4219100457122,-97
2,1,72.7594456312318,2,2,46.9219100457122,-96
2.5,1,72.9978159053481,2.5,2.5,46.4219100457122,-95
3,1,39.9068096181796,3,3,45.9219100457122,-94
4,1,12.6440057424016,4,4,44.9219100457122,-92
5,1,6.0917685951541,5,5,43.9219100457122,-90
6,1,3.80046494888185,6,6,42.9219100457122,-88
0.1,1.5,1,0.0902745292950934,0.0612935791754676,48.8316355164171,-100
0.5,1.5,1.43145208274274,0.451372646475467,0.306467895877338,48.4705373992368,-99
1,1.5,6.23362582336847,0.902745292950934,0.612935791754676,48.0191647527613,-98
1.5,1.5,22.764306114356,1.3541179394264,0.919403687632014,47.5677921062858,-97
2,1.5,63.6076476746952,1.80549058590187,1.22587158350935,47.1164194598104,-96
2.5,1.5,146.136444675665,2.25686323237733,1.53233947938669,46.6650468133349,-95
3,1.5,292.226767971946,2.7082358788528,1.83880737526403,46.2136741668594,-94
4,1.5,523.785080505767,3.61098117180373,2.4517431670187,45.3109288739085,-93
5,1.5,122.488075785822,4.51372646475467,3.06467895877338,44.4081835809576,-91
6,1.5,31.8853962334419,5.4164717577056,3.67761475052806,43.5054382880066,-89
0.1,2,1,0.0886226925452758,0.0463251375176104,48.833287353167,-100
0.5,2,1.09883398550229,0.443113462726379,0.231625687588052,48.4787965829859,-99
